Station,Campaign,Date,Location,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,DO_mg_per_L,DO_Status,Station_DO_Status,pH,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Organic_Matter_%,Clay_%
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Potosí (Mining Zone),Lead,68.9,46.0,0.046,1497.826086956522,3.175461390226052,8.33,Oxic,Generally Oxic,8.0,1.83,370.0,1.09,0.5,0.42,0.04,,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Potosí (Mining Zone),Zinc,127.0,1066.0,1.066,119.13696060037523,2.0760465162654036,8.33,Oxic,Generally Oxic,8.0,1.83,370.0,1.09,0.5,0.42,0.04,,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Potosí (Mining Zone),Arsenic,12.8,61.0,0.061,209.8360655737705,2.321880134637101,8.33,Oxic,Generally Oxic,8.0,1.55,403.0,1.07,0.5,0.53,0.04,,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Potosí (Mining Zone),Cadmium,0.26,4.0,0.004,65.0,1.8129133566428555,8.33,Oxic,Generally Oxic,8.0,1.55,403.0,1.07,0.5,0.53,0.04,,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Potosí (Mining Zone),Lead,26.6,46.0,0.046,578.2608695652174,2.7621238049494927,8.33,Oxic,Generally Oxic,8.0,1.55,403.0,1.07,0.5,0.53,0.04,,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Potosí (Mining Zone),Zinc,100.0,1066.0,1.066,93.80863039399624,1.9722427953094466,8.33,Oxic,Generally Oxic,8.0,1.55,403.0,1.07,0.5,0.53,0.04,,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Potosí (Mining Zone),Arsenic,86.5,61.0,0.061,1418.032786885246,3.151686272454047,8.33,Oxic,Generally Oxic,8.0,1.51,305.0,1.05,0.5,0.88,0.033,,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Potosí (Mining Zone),Cadmium,2.06,4.0,0.004,515.0,2.711807229041191,8.33,Oxic,Generally Oxic,8.0,1.51,305.0,1.05,0.5,0.88,0.033,,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Potosí (Mining Zone),Lead,204.0,46.0,0.046,4434.782608695652,3.6468723357443245,8.33,Oxic,Generally Oxic,8.0,1.51,305.0,1.05,0.5,0.88,0.033,,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2016,2016-08-02,Potosí (Mining Zone),Zinc,287.0,1066.0,1.066,269.2307692307692,2.4301246920434387,8.33,Oxic,Generally Oxic,8.0,1.51,305.0,1.05,0.5,0.88,0.033,,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Arsenic,23.8,1988.0,1.988,11.971830985915494,1.0781605769952174,6.65,Oxic,Generally Oxic,8.3,2.37,340.0,1.65,0.5,0.41,0.039,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Cadmium,0.52,118.0,0.118,4.40677966101695,0.6441213363286739,6.65,Oxic,Generally Oxic,8.3,2.37,340.0,1.65,0.5,0.41,0.039,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Lead,106.0,1900.0,1.9,55.78947368421053,1.7465522643119413,6.65,Oxic,Generally Oxic,8.3,2.37,340.0,1.65,0.5,0.41,0.039,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Zinc,202.0,13193.0,13.193,15.311149852194346,1.185007807008599,6.65,Oxic,Generally Oxic,8.3,2.37,340.0,1.65,0.5,0.41,0.039,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Arsenic,60.4,1988.0,1.988,30.38229376257545,1.4826205585598373,6.65,Oxic,Generally Oxic,8.3,2.07,318.0,1.15,0.5,0.46,0.034,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Cadmium,0.19,118.0,0.118,1.6101694915254239,0.20687159364670363,6.65,Oxic,Generally Oxic,8.3,2.07,318.0,1.15,0.5,0.46,0.034,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Lead,62.0,1900.0,1.9,32.631578947368425,1.513638088545425,6.65,Oxic,Generally Oxic,8.3,2.07,318.0,1.15,0.5,0.46,0.034,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Zinc,82.5,13193.0,13.193,6.253316152505117,0.7961103861119004,6.65,Oxic,Generally Oxic,8.3,2.07,318.0,1.15,0.5,0.46,0.034,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Arsenic,130.0,1988.0,1.988,65.3923541247485,1.8155269722455423,6.65,Oxic,Generally Oxic,8.3,1.56,270.0,0.81,0.5,0.42,0.036,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Cadmium,0.17,118.0,0.118,1.440677966101695,0.1585669140721486,6.65,Oxic,Generally Oxic,8.3,1.56,270.0,0.81,0.5,0.42,0.036,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Lead,24.6,1900.0,1.9,12.947368421052634,1.1121815061505502,6.65,Oxic,Generally Oxic,8.3,1.56,270.0,0.81,0.5,0.42,0.036,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Zinc,81.0,13193.0,13.193,6.1396194951868415,0.788141456440625,6.65,Oxic,Generally Oxic,8.3,1.56,270.0,0.81,0.5,0.42,0.036,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Arsenic,18.9,1988.0,1.988,9.507042253521126,0.9780454241119496,6.65,Oxic,Generally Oxic,8.3,1.14,206.0,0.75,0.5,0.34,0.023,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Cadmium,0.12,118.0,0.118,1.0169491525423728,0.007299238741499423,6.65,Oxic,Generally Oxic,8.3,1.14,206.0,0.75,0.5,0.34,0.023,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Lead,25.8,1900.0,1.9,13.578947368421053,1.1328661050104012,6.65,Oxic,Generally Oxic,8.3,1.14,206.0,0.75,0.5,0.34,0.023,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Zinc,69.9,13193.0,13.193,5.298264231031609,0.7241336133076568,6.65,Oxic,Generally Oxic,8.3,1.14,206.0,0.75,0.5,0.34,0.023,0.33,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Arsenic,12.0,1988.0,1.988,6.036217303822938,0.7807648659863303,6.65,Oxic,Generally Oxic,8.4,2.37,342.0,1.37,0.5,0.38,0.039,0.35,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Cadmium,0.11,118.0,0.118,0.9322033898305085,-0.030489322147900313,6.65,Oxic,Generally Oxic,8.4,2.37,342.0,1.37,0.5,0.38,0.039,0.35,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Lead,19.9,1900.0,1.9,10.473684210526315,1.0200994754568777,6.65,Oxic,Generally Oxic,8.4,2.37,342.0,1.37,0.5,0.38,0.039,0.35,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Zinc,58.2,13193.0,13.193,4.411430303949064,0.6445794222118638,6.65,Oxic,Generally Oxic,8.4,2.37,342.0,1.37,0.5,0.38,0.039,0.35,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Arsenic,12.3,1988.0,1.988,6.1871227364185115,0.7914887313781035,6.65,Oxic,Generally Oxic,8.4,1.77,282.0,0.87,0.5,0.35,0.032,0.35,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Cadmium,0.13,118.0,0.118,1.1016949152542375,0.04206134500071145,6.65,Oxic,Generally Oxic,8.4,1.77,282.0,0.87,0.5,0.35,0.032,0.35,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Lead,22.7,1900.0,1.9,11.947368421052632,1.0772722562402939,6.65,Oxic,Generally Oxic,8.4,1.77,282.0,0.87,0.5,0.35,0.032,0.35,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Zinc,56.7,13193.0,13.193,4.29773364663079,0.633239496454882,6.65,Oxic,Generally Oxic,8.4,1.77,282.0,0.87,0.5,0.35,0.032,0.35,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Arsenic,15.0,1988.0,1.988,7.545271629778672,0.8776748789943868,6.65,Oxic,Generally Oxic,8.4,1.55,268.0,1.04,0.5,0.43,0.033,0.35,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Cadmium,0.16,118.0,0.118,1.3559322033898307,0.13223797534979945,6.65,Oxic,Generally Oxic,8.4,1.55,268.0,1.04,0.5,0.43,0.033,0.35,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Lead,28.6,1900.0,1.9,15.05263157894737,1.177612432176214,6.65,Oxic,Generally Oxic,8.4,1.55,268.0,1.04,0.5,0.43,0.033,0.35,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Potosí (Mining Zone),Zinc,75.3,13193.0,13.193,5.707572197377397,0.7564514137626759,6.65,Oxic,Generally Oxic,8.4,1.55,268.0,1.04,0.5,0.43,0.033,0.35,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,December 2017,2017-12-13,Potosí (Mining Zone),Arsenic,11.2,42.0,0.042,266.66666666666663,2.425968732272281,5.85,Oxic,Generally Oxic,8.5,1.76,355.0,1.37,0.5,0.88,0.045,0.47,2.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,December 2017,2017-12-13,Potosí (Mining Zone),Cadmium,0.2,1.0,0.001,200.0,2.3010299956639813,5.85,Oxic,Generally Oxic,8.5,1.76,355.0,1.37,0.5,0.88,0.045,0.47,2.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,December 2017,2017-12-13,Potosí (Mining Zone),Lead,14.4,1.0,0.001,14400.0,4.158362492095249,5.85,Oxic,Generally Oxic,8.5,1.76,355.0,1.37,0.5,0.88,0.045,0.47,2.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,December 2017,2017-12-13,Potosí (Mining Zone),Zinc,76.6,10.0,0.01,7659.999999999999,3.884228769632604,5.85,Oxic,Generally Oxic,8.5,1.76,355.0,1.37,0.5,0.88,0.045,0.47,2.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,December 2017,2017-12-13,Potosí (Mining Zone),Arsenic,10.5,42.0,0.042,249.99999999999997,2.3979400086720375,5.85,Oxic,Generally Oxic,8.5,1.57,333.0,1.4,0.5,0.72,0.033,0.47,2.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,December 2017,2017-12-13,Potosí (Mining Zone),Cadmium,0.15,1.0,0.001,150.0,2.1760912590556813,5.85,Oxic,Generally Oxic,8.5,1.57,333.0,1.4,0.5,0.72,0.033,0.47,2.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,December 2017,2017-12-13,Potosí (Mining Zone),Lead,12.4,1.0,0.001,12400.0,4.093421685162235,5.85,Oxic,Generally Oxic,8.5,1.57,333.0,1.4,0.5,0.72,0.033,0.47,2.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,December 2017,2017-12-13,Potosí (Mining Zone),Zinc,79.3,10.0,0.01,7930.0,3.8992731873176036,5.85,Oxic,Generally Oxic,8.5,1.57,333.0,1.4,0.5,0.72,0.033,0.47,2.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,December 2017,2017-12-13,Potosí (Mining Zone),Arsenic,9.5,42.0,0.042,226.19047619047618,2.3544743148909473,5.85,Oxic,Generally Oxic,8.3,1.72,348.0,1.62,0.5,1.04,0.04,0.75,3.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,December 2017,2017-12-13,Potosí (Mining Zone),Cadmium,0.16,1.0,0.001,160.0,2.2041199826559246,5.85,Oxic,Generally Oxic,8.3,1.72,348.0,1.62,0.5,1.04,0.04,0.75,3.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,December 2017,2017-12-13,Potosí (Mining Zone),Lead,11.9,1.0,0.001,11900.0,4.075546961392531,5.85,Oxic,Generally Oxic,8.3,1.72,348.0,1.62,0.5,1.04,0.04,0.75,3.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,December 2017,2017-12-13,Potosí (Mining Zone),Zinc,65.1,10.0,0.01,6509.999999999999,3.8135809885681917,5.85,Oxic,Generally Oxic,8.3,1.72,348.0,1.62,0.5,1.04,0.04,0.75,3.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Arsenic,15.5,81.0,0.081,191.35802469135803,2.281846679291642,7.85,Oxic,Generally Oxic,7.8,1.91,464.0,1.49,0.5,0.72,0.042,0.88,0.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Cadmium,0.41,4.0,0.004,102.49999999999999,2.010723865391773,7.85,Oxic,Generally Oxic,7.8,1.91,464.0,1.49,0.5,0.72,0.042,0.88,0.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Lead,16.9,142.0,0.142,119.01408450704226,2.075598360230617,7.85,Oxic,Generally Oxic,7.8,1.91,464.0,1.49,0.5,0.72,0.042,0.88,0.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Zinc,180.0,1399.0,1.399,128.66333095067907,2.1094547906114784,7.85,Oxic,Generally Oxic,7.8,1.91,464.0,1.49,0.5,0.72,0.042,0.88,0.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Arsenic,11.1,81.0,0.081,137.03703703703704,2.1368379599080076,7.85,Oxic,Generally Oxic,7.9,2.67,480.0,1.7,0.5,0.37,0.039,0.75,0.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Cadmium,0.22,4.0,0.004,55.0,1.7403626894942439,7.85,Oxic,Generally Oxic,7.9,2.67,480.0,1.7,0.5,0.37,0.039,0.75,0.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Lead,15.1,142.0,0.142,106.3380281690141,2.026688602910113,7.85,Oxic,Generally Oxic,7.9,2.67,480.0,1.7,0.5,0.37,0.039,0.75,0.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Zinc,101.0,1399.0,1.399,72.19442458899213,1.8585036592908148,7.85,Oxic,Generally Oxic,7.9,2.67,480.0,1.7,0.5,0.37,0.039,0.75,0.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Arsenic,10.9,81.0,0.081,134.5679012345679,2.128941479061974,7.85,Oxic,Generally Oxic,7.9,2.46,493.0,1.21,0.5,0.4,0.038,0.75,0.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Cadmium,0.17,4.0,0.004,42.5,1.6283889300503116,7.85,Oxic,Generally Oxic,7.9,2.46,493.0,1.21,0.5,0.4,0.038,0.75,0.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Lead,15.0,142.0,0.142,105.63380281690142,2.0238029146726246,7.85,Oxic,Generally Oxic,7.9,2.46,493.0,1.21,0.5,0.4,0.038,0.75,0.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Zinc,90.4,1399.0,1.399,64.61758398856327,1.8103507159835357,7.85,Oxic,Generally Oxic,7.9,2.46,493.0,1.21,0.5,0.4,0.038,0.75,0.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Arsenic,21.6,81.0,0.081,266.6666666666667,2.425968732272281,7.85,Oxic,Generally Oxic,8.1,1.94,385.0,1.3,0.5,0.71,0.044,0.6,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Cadmium,0.11,4.0,0.004,27.5,1.4393326938302626,7.85,Oxic,Generally Oxic,8.1,1.94,385.0,1.3,0.5,0.71,0.044,0.6,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Lead,19.7,142.0,0.142,138.73239436619718,2.1421778817785366,7.85,Oxic,Generally Oxic,8.1,1.94,385.0,1.3,0.5,0.71,0.044,0.6,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Zinc,106.0,1399.0,1.399,75.76840600428878,1.8794881507729426,7.85,Oxic,Generally Oxic,8.1,1.94,385.0,1.3,0.5,0.71,0.044,0.6,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Arsenic,16.5,81.0,0.081,203.7037037037037,2.3089989253352563,7.85,Oxic,Generally Oxic,8.1,1.49,350.0,1.37,0.5,0.73,0.036,0.6,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Cadmium,0.21,4.0,0.004,52.5,1.7201593034059568,7.85,Oxic,Generally Oxic,8.1,1.49,350.0,1.37,0.5,0.73,0.036,0.6,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Lead,18.3,142.0,0.142,128.87323943661974,2.110162745347373,7.85,Oxic,Generally Oxic,8.1,1.49,350.0,1.37,0.5,0.73,0.036,0.6,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Potosí (Mining Zone),Zinc,102.0,1399.0,1.399,72.90922087205146,1.86278245727009,7.85,Oxic,Generally Oxic,8.1,1.49,350.0,1.37,0.5,0.73,0.036,0.6,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Arsenic,28.6,43.0,0.043,665.1162790697675,2.8228975775494565,8.17,Oxic,Generally Oxic,8.2,2.01,512.0,1.81,0.5,1.25,0.074,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Cadmium,0.89,2.0,0.002,445.0,2.6483600109809315,8.17,Oxic,Generally Oxic,8.2,2.01,512.0,1.81,0.5,1.25,0.074,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Lead,22.7,11.0,0.011,2063.6363636363635,3.3146331720348976,8.17,Oxic,Generally Oxic,8.2,2.01,512.0,1.81,0.5,1.25,0.074,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Zinc,362.0,447.0,0.447,809.8434004474273,2.908401047401229,8.17,Oxic,Generally Oxic,8.2,2.01,512.0,1.81,0.5,1.25,0.074,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Arsenic,25.3,43.0,0.043,588.3720930232558,2.7696520655962313,8.17,Oxic,Generally Oxic,8.2,1.51,424.0,1.44,0.5,1.09,0.07,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Cadmium,0.52,2.0,0.002,260.0,2.4149733479708178,8.17,Oxic,Generally Oxic,8.2,1.51,424.0,1.44,0.5,1.09,0.07,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Lead,28.8,11.0,0.011,2618.1818181818185,3.4179998026010057,8.17,Oxic,Generally Oxic,8.2,1.51,424.0,1.44,0.5,1.09,0.07,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Zinc,274.0,447.0,0.447,612.9753914988814,2.7874430396884513,8.17,Oxic,Generally Oxic,8.2,1.51,424.0,1.44,0.5,1.09,0.07,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Arsenic,28.1,43.0,0.043,653.4883720930234,2.8152378643254936,8.17,Oxic,Generally Oxic,8.2,1.49,393.0,1.4,0.5,0.77,0.047,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Cadmium,0.63,2.0,0.002,315.0,2.4983105537896004,8.17,Oxic,Generally Oxic,8.2,1.49,393.0,1.4,0.5,0.77,0.047,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Lead,25.7,11.0,0.011,2336.3636363636365,3.3685404381730697,8.17,Oxic,Generally Oxic,8.2,1.49,393.0,1.4,0.5,0.77,0.047,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Zinc,292.0,447.0,0.447,653.2438478747204,2.8150753283164818,8.17,Oxic,Generally Oxic,8.2,1.49,393.0,1.4,0.5,0.77,0.047,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Arsenic,22.9,43.0,0.043,532.5581395348837,2.7263670267603013,8.17,Oxic,Generally Oxic,8.2,1.96,501.0,1.55,0.5,1.1,0.067,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Cadmium,0.45,2.0,0.002,225.0,2.3521825181113627,8.17,Oxic,Generally Oxic,8.2,1.96,501.0,1.55,0.5,1.1,0.067,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Lead,21.0,11.0,0.011,1909.0909090909092,3.280826609575694,8.17,Oxic,Generally Oxic,8.2,1.96,501.0,1.55,0.5,1.1,0.067,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Zinc,216.0,447.0,0.447,483.2214765100671,2.6841462280189945,8.17,Oxic,Generally Oxic,8.2,1.96,501.0,1.55,0.5,1.1,0.067,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Arsenic,19.6,43.0,0.043,455.81395348837214,2.6587876157768897,8.17,Oxic,Generally Oxic,8.2,1.45,466.0,1.37,0.5,0.95,0.047,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Cadmium,0.44,2.0,0.002,220.0,2.342422680822206,8.17,Oxic,Generally Oxic,8.2,1.45,466.0,1.37,0.5,0.95,0.047,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Lead,20.5,11.0,0.011,1863.6363636363637,3.2703611758975293,8.17,Oxic,Generally Oxic,8.2,1.45,466.0,1.37,0.5,0.95,0.047,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Zinc,187.0,447.0,0.447,418.34451901565996,2.6215340834045624,8.17,Oxic,Generally Oxic,8.2,1.45,466.0,1.37,0.5,0.95,0.047,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Arsenic,20.8,43.0,0.043,483.7209302325582,2.684594879383175,8.17,Oxic,Generally Oxic,8.2,1.39,410.0,1.25,0.5,0.69,0.036,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Cadmium,0.38,2.0,0.002,190.0,2.278753600952829,8.17,Oxic,Generally Oxic,8.2,1.39,410.0,1.25,0.5,0.69,0.036,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Lead,18.1,11.0,0.011,1645.4545454545457,3.2162858897109596,8.17,Oxic,Generally Oxic,8.2,1.39,410.0,1.25,0.5,0.69,0.036,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Zinc,175.0,447.0,0.447,391.49888143176736,2.592730525554358,8.17,Oxic,Generally Oxic,8.2,1.39,410.0,1.25,0.5,0.69,0.036,0.9,1.0
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Arsenic,24.3,43.0,0.043,565.1162790697675,2.752137818018726,8.17,Oxic,Generally Oxic,8.2,1.85,492.0,1.71,0.5,1.07,0.067,0.43,0.5
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Cadmium,0.61,2.0,0.002,305.0,2.484299839346786,8.17,Oxic,Generally Oxic,8.2,1.85,492.0,1.71,0.5,1.07,0.067,0.43,0.5
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Potosí (Mining Zone),Lead,22.4,11.0,0.011,2036.3636363636363,3.308855333175938,8.17,Oxic,Generally Oxic,8.2,1.85,492.0,1.71,0.5,1.07,0.067,0.43,0.5
